"","group","Benchmark","value","timestamp","backend","commit","mean_time","max_time","min_time"
"1","bench_insert","diesel",1,2021-05-05 07:28:09,"mysql","0973ab5d2d1aa2512d3a136597e58f75e32a7d2e",1252618.2372096,1965496,1074682.65555556
"2","bench_insert","diesel",1,2021-05-06 04:22:47,"mysql","3978cdc12564f075201dac8eff679490285ca35e",1752791.1492223,2490191.75,1237963.10869565
"3","bench_insert","diesel",1,2021-05-07 04:18:22,"mysql","3978cdc12564f075201dac8eff679490285ca35e",1135714.60169306,3153214.66666667,952433.272727273
"4","bench_insert","diesel",1,2021-05-08 04:28:37,"mysql","3978cdc12564f075201dac8eff679490285ca35e",1901310.97008747,2930521.79487179,1340546.79569892
"5","bench_insert","diesel",1,2021-05-09 04:22:11,"mysql","3978cdc12564f075201dac8eff679490285ca35e",1062199.34853601,4920290.75,893704.376344086
"6","bench_insert","diesel",1,2021-05-10 04:23:02,"mysql","f93f71b45516cd2fd34d8f7f4cd804bac350c1a8",1162027.49924641,1989340,849531.142857143
"7","bench_insert","diesel",1,2021-05-11 04:27:48,"mysql","adec833ed0d4b8ed06e60cdc2be7b308e9c488e5",1710645.78625309,2758882,1286717.58
"8","bench_insert","diesel",1,2021-05-12 04:13:51,"mysql","c0b613024adf970dc888453c984d42e86bad6b3e",947288.381603183,1460720,664463.039473684
"9","bench_insert","diesel",1,2021-05-13 04:24:24,"mysql","c0b613024adf970dc888453c984d42e86bad6b3e",1882353.79278669,2853460.86956522,1534834.67647059
"10","bench_insert","diesel",1,2021-05-14 04:22:00,"mysql","c0b613024adf970dc888453c984d42e86bad6b3e",1445866.52328509,2083373.5,1276458.20338983
"11","bench_insert","diesel",1,2021-05-15 04:17:14,"mysql","c0b613024adf970dc888453c984d42e86bad6b3e",834251.042888988,1648122.45,670309.115384615
"12","bench_insert","diesel",1,2021-05-16 04:14:41,"mysql","c0b613024adf970dc888453c984d42e86bad6b3e",806501.294691894,1990781.5,717850.036082474
"13","bench_insert","diesel",1,2021-05-17 04:14:09,"mysql","c0b613024adf970dc888453c984d42e86bad6b3e",769267.228145948,1385749.6,574810.2
"14","bench_insert","diesel",1,2021-05-18 04:15:13,"mysql","c0b613024adf970dc888453c984d42e86bad6b3e",821543.385785758,2747317.08333333,686620.590909091
"15","bench_insert","diesel",1,2021-05-19 04:20:35,"mysql","c0b613024adf970dc888453c984d42e86bad6b3e",1114836.70162401,1864671,987102.575
"16","bench_insert","diesel",1,2021-05-20 04:22:06,"mysql","c0b613024adf970dc888453c984d42e86bad6b3e",1316496.9546619,3132531,1118831.31818182
"17","bench_insert","diesel",1,2021-05-21 04:18:29,"mysql","c0b613024adf970dc888453c984d42e86bad6b3e",1059307.2504599,2039203,930280.458333333
"18","bench_insert","diesel",1,2021-05-22 04:21:53,"mysql","0aa0da7941289fc0a4f6acd866e0a6913c87979d",1805315.21752326,3107939,1280037.54347826
"19","bench_insert","diesel",1,2021-05-25 04:25:44,"mysql","e78ae2311f087d56b7c371b0a203f00bb04583be",1844817.82018856,2498520.08988764,1406455.88372093
"20","bench_insert","diesel",1,2021-05-26 04:35:21,"mysql","a39c5293cbd4a4e2f677014138489c1977f07299",1114016.1531323,2148137,777734.9
"21","bench_insert","diesel",1,2021-05-27 04:37:03,"mysql","a39c5293cbd4a4e2f677014138489c1977f07299",765446.499630766,1985365.66666667,627481.1
"22","bench_insert","diesel",1,2021-05-28 04:50:42,"mysql","a39c5293cbd4a4e2f677014138489c1977f07299",1198725.63672837,2294377,1068304.6875
"23","bench_insert","diesel",1,2021-05-29 05:01:57,"mysql","a39c5293cbd4a4e2f677014138489c1977f07299",912268.364833223,2776520.25,651774.061403509
"24","bench_insert","diesel",1,2021-05-30 05:08:27,"mysql","a39c5293cbd4a4e2f677014138489c1977f07299",895121.804617002,1481203.5,729755.966666667
"25","bench_insert","diesel",1,2021-06-01 05:22:27,"mysql","a39c5293cbd4a4e2f677014138489c1977f07299",1112369.20617626,1916074,956846.346153846
"26","bench_insert","diesel",1,2021-06-02 05:17:15,"mysql","3e8fd4d7ce257830f1735e9a31c9a5f0fb0d777f",1123050.45139062,1662601.75,811044.888888889
"27","bench_insert","diesel",1,2021-06-03 05:14:02,"mysql","3e8fd4d7ce257830f1735e9a31c9a5f0fb0d777f",1205248.06889076,2712681.45454545,1035878.59459459
"28","bench_insert","diesel",1,2021-06-04 04:51:07,"mysql","3e8fd4d7ce257830f1735e9a31c9a5f0fb0d777f",1295631.02562929,2333005.31372549,1073562.37234043
"29","bench_insert","diesel",1,2021-06-05 04:43:33,"mysql","3e8fd4d7ce257830f1735e9a31c9a5f0fb0d777f",1116933.01073205,3260775.3,835092.909090909
"30","bench_insert","diesel",1,2021-06-06 04:39:58,"mysql","3e8fd4d7ce257830f1735e9a31c9a5f0fb0d777f",1221798.01883127,6619397,936313.733333333
